sport,market,game/event,player,site,odds
NBA,Advanced,Utah Jazz vs. Brooklyn Nets,Utah Jazz,Best Line: FanDuel,"('-4.5', '-110')"
NBA,Advanced,Utah Jazz vs. Brooklyn Nets,Utah Jazz,True Line,"('-4.5', '-101')"
NBA,Advanced,Utah Jazz vs. Brooklyn Nets,Utah Jazz,DraftKings,"('-4.5', '-112')"
NBA,Advanced,Utah Jazz vs. Brooklyn Nets,Utah Jazz,FanDuel,"('-4.5', '-110')"
NBA,Advanced,Utah Jazz vs. Brooklyn Nets,Utah Jazz,PointsBet,"('-4.5', '-110')"
NBA,Advanced,Utah Jazz vs. Brooklyn Nets,Utah Jazz,BetRivers,"('-4.5', '-112')"
NBA,Advanced,Utah Jazz vs. Brooklyn Nets,Utah Jazz,BetMGM,"('-4.5', '-110')"
NBA,Advanced,Utah Jazz vs. Brooklyn Nets,Utah Jazz,Bet365,"('-4.5', '-110')"
NBA,Advanced,Utah Jazz vs. Brooklyn Nets,Utah Jazz,Sugarhouse,"('-4.5', '-112')"
NBA,Advanced,Utah Jazz vs. Brooklyn Nets,Utah Jazz,888sports,"('-4.5', '-112')"
NBA,Advanced,Utah Jazz vs. Brooklyn Nets,Brooklyn Nets,Best Line,"('225.5', 'o-108')"
NBA,Advanced,Utah Jazz vs. Brooklyn Nets,Brooklyn Nets,True Line,"('225.5', 'o-101')"
NBA,Advanced,Utah Jazz vs. Brooklyn Nets,Brooklyn Nets,DraftKings,"('225', 'o-113')"
NBA,Advanced,Utah Jazz vs. Brooklyn Nets,Brooklyn Nets,FanDuel,"('225.5', 'u-110')"
NBA,Advanced,Utah Jazz vs. Brooklyn Nets,Brooklyn Nets,PointsBet,"('225.5', 'o-115')"
NBA,Advanced,Utah Jazz vs. Brooklyn Nets,Brooklyn Nets,BetRivers,"('225.5', 'u-113')"
NBA,Advanced,Utah Jazz vs. Brooklyn Nets,Brooklyn Nets,BetMGM,"('225.5', 'u-110')"
NBA,Advanced,Utah Jazz vs. Brooklyn Nets,Brooklyn Nets,Bet365,"('225.5', 'u-110')"
NBA,Advanced,Utah Jazz vs. Brooklyn Nets,Brooklyn Nets,Sugarhouse,"('225.5', 'u-113')"
NBA,Advanced,Utah Jazz vs. Brooklyn Nets,Brooklyn Nets,888sports,"('225.5', 'u-113')"
NBA,Advanced,Los Angeles Lakers vs. Memphis Grizzlies,Los Angeles Lakers,Best Line: MGM,"('-8.5', '-120')"
NBA,Advanced,Los Angeles Lakers vs. Memphis Grizzlies,Los Angeles Lakers,True Line,"('-9', '-101')"
NBA,Advanced,Los Angeles Lakers vs. Memphis Grizzlies,Los Angeles Lakers,DraftKings,"('-9', '-110')"
NBA,Advanced,Los Angeles Lakers vs. Memphis Grizzlies,Los Angeles Lakers,FanDuel,"('-9', '-110')"
NBA,Advanced,Los Angeles Lakers vs. Memphis Grizzlies,Los Angeles Lakers,PointsBet,"('-9', '-110')"
NBA,Advanced,Los Angeles Lakers vs. Memphis Grizzlies,Los Angeles Lakers,BetRivers,"('-9', '-110')"
NBA,Advanced,Los Angeles Lakers vs. Memphis Grizzlies,Los Angeles Lakers,BetMGM,"('-8.5', '-120')"
NBA,Advanced,Los Angeles Lakers vs. Memphis Grizzlies,Los Angeles Lakers,Bet365,"('-9', '-110')"
NBA,Advanced,Los Angeles Lakers vs. Memphis Grizzlies,Los Angeles Lakers,Sugarhouse,"('-9', '-110')"
NBA,Advanced,Los Angeles Lakers vs. Memphis Grizzlies,Los Angeles Lakers,888sports,"('-9', '-110')"
NBA,Advanced,Los Angeles Lakers vs. Memphis Grizzlies,Memphis Grizzlies,Best Line,"('218', 'o-110')"
NBA,Advanced,Los Angeles Lakers vs. Memphis Grizzlies,Memphis Grizzlies,True Line,"('218', 'u-100')"
NBA,Advanced,Los Angeles Lakers vs. Memphis Grizzlies,Memphis Grizzlies,DraftKings,"('218', 'o-113')"
NBA,Advanced,Los Angeles Lakers vs. Memphis Grizzlies,Memphis Grizzlies,FanDuel,"('218', 'u-110')"
NBA,Advanced,Los Angeles Lakers vs. Memphis Grizzlies,Memphis Grizzlies,PointsBet,"('218', 'o-115')"
NBA,Advanced,Los Angeles Lakers vs. Memphis Grizzlies,Memphis Grizzlies,BetRivers,"('218', 'o-113')"
NBA,Advanced,Los Angeles Lakers vs. Memphis Grizzlies,Memphis Grizzlies,BetMGM,"('217.5', 'o-115')"
NBA,Advanced,Los Angeles Lakers vs. Memphis Grizzlies,Memphis Grizzlies,Bet365,"('218', 'u-110')"
NBA,Advanced,Los Angeles Lakers vs. Memphis Grizzlies,Memphis Grizzlies,Sugarhouse,"('218', 'o-113')"
NBA,Advanced,Los Angeles Lakers vs. Memphis Grizzlies,Memphis Grizzlies,888sports,"('218', 'o-113')"
NBA,Advanced,Minnesota Timberwolves vs. Denver Nuggets,Minnesota Timberwolves,Best Line,"('225.5', 'o-110')"
NBA,Advanced,Minnesota Timberwolves vs. Denver Nuggets,Minnesota Timberwolves,True Line,"('226.5', 'u-101')"
NBA,Advanced,Minnesota Timberwolves vs. Denver Nuggets,Minnesota Timberwolves,DraftKings,"('226', 'u-113')"
NBA,Advanced,Minnesota Timberwolves vs. Denver Nuggets,Minnesota Timberwolves,FanDuel,"('226.5', 'o-120')"
NBA,Advanced,Minnesota Timberwolves vs. Denver Nuggets,Minnesota Timberwolves,PointsBet,"('226', 'o-120')"
NBA,Advanced,Minnesota Timberwolves vs. Denver Nuggets,Minnesota Timberwolves,BetRivers,"('226', 'u-113')"
NBA,Advanced,Minnesota Timberwolves vs. Denver Nuggets,Minnesota Timberwolves,BetMGM,"('225.5', 'u-110')"
NBA,Advanced,Minnesota Timberwolves vs. Denver Nuggets,Minnesota Timberwolves,Bet365,"('226.5', 'u-110')"
NBA,Advanced,Minnesota Timberwolves vs. Denver Nuggets,Minnesota Timberwolves,Sugarhouse,"('226', 'u-113')"
NBA,Advanced,Minnesota Timberwolves vs. Denver Nuggets,Minnesota Timberwolves,888sports,"('226', 'u-113')"
NBA,Advanced,Minnesota Timberwolves vs. Denver Nuggets,Denver Nuggets,Best Line: DraftKings,"('-10.5', '-110')"
NBA,Advanced,Minnesota Timberwolves vs. Denver Nuggets,Denver Nuggets,True Line,"('-10.5', '-103')"
NBA,Advanced,Minnesota Timberwolves vs. Denver Nuggets,Denver Nuggets,DraftKings,"('-10.5', '-110')"
NBA,Advanced,Minnesota Timberwolves vs. Denver Nuggets,Denver Nuggets,FanDuel,"('-10.5', '-110')"
NBA,Advanced,Minnesota Timberwolves vs. Denver Nuggets,Denver Nuggets,PointsBet,"('-10.5', '-110')"
NBA,Advanced,Minnesota Timberwolves vs. Denver Nuggets,Denver Nuggets,BetRivers,"('-10.5', '-110')"
NBA,Advanced,Minnesota Timberwolves vs. Denver Nuggets,Denver Nuggets,BetMGM,"('-10.5', '-110')"
NBA,Advanced,Minnesota Timberwolves vs. Denver Nuggets,Denver Nuggets,Bet365,"('-10.5', '-110')"
NBA,Advanced,Minnesota Timberwolves vs. Denver Nuggets,Denver Nuggets,Sugarhouse,"('-10.5', '-110')"
NBA,Advanced,Minnesota Timberwolves vs. Denver Nuggets,Denver Nuggets,888sports,"('-10.5', '-110')"
NBA,Advanced,San Antonio Spurs vs. Los Angeles Clippers,San Antonio Spurs,Best Line,"('228', 'o-110')"
NBA,Advanced,San Antonio Spurs vs. Los Angeles Clippers,San Antonio Spurs,True Line,"('228', 'u-103')"
