sport,market,game/event,player,site,odds
PGA,To Win,PGA - Sony Open in Hawaii,Peter Malnati,Best Line: BetRiver,+2000
PGA,To Win,PGA - Sony Open in Hawaii,Peter Malnati,True Line,No Lines
PGA,To Win,PGA - Sony Open in Hawaii,Peter Malnati,DraftKings,No Lines
PGA,To Win,PGA - Sony Open in Hawaii,Peter Malnati,FanDuel,No Lines
PGA,To Win,PGA - Sony Open in Hawaii,Peter Malnati,PointsBet,No Lines
PGA,To Win,PGA - Sony Open in Hawaii,Peter Malnati,BetRivers,+2000
PGA,To Win,PGA - Sony Open in Hawaii,Peter Malnati,BetMGM,No Lines
PGA,To Win,PGA - Sony Open in Hawaii,Peter Malnati,Bet365,No Lines
PGA,To Win,PGA - Sony Open in Hawaii,Peter Malnati,Sugarhouse,+2000
PGA,To Win,PGA - Sony Open in Hawaii,Peter Malnati,888sports,+2000
PGA,To Win,PGA - Sony Open in Hawaii,Vaughn Taylor,Best Line: BetRiver,+8000
PGA,To Win,PGA - Sony Open in Hawaii,Vaughn Taylor,True Line,No Lines
PGA,To Win,PGA - Sony Open in Hawaii,Vaughn Taylor,DraftKings,No Lines
PGA,To Win,PGA - Sony Open in Hawaii,Vaughn Taylor,FanDuel,No Lines
PGA,To Win,PGA - Sony Open in Hawaii,Vaughn Taylor,PointsBet,No Lines
PGA,To Win,PGA - Sony Open in Hawaii,Vaughn Taylor,BetRivers,+8000
PGA,To Win,PGA - Sony Open in Hawaii,Vaughn Taylor,BetMGM,No Lines
PGA,To Win,PGA - Sony Open in Hawaii,Vaughn Taylor,Bet365,No Lines
PGA,To Win,PGA - Sony Open in Hawaii,Vaughn Taylor,Sugarhouse,+8000
PGA,To Win,PGA - Sony Open in Hawaii,Vaughn Taylor,888sports,+8000
PGA,To Win,PGA - Sony Open in Hawaii,Henrik Norlander,Best Line: BetRiver,+6600
PGA,To Win,PGA - Sony Open in Hawaii,Henrik Norlander,True Line,No Lines
PGA,To Win,PGA - Sony Open in Hawaii,Henrik Norlander,DraftKings,No Lines
PGA,To Win,PGA - Sony Open in Hawaii,Henrik Norlander,FanDuel,No Lines
PGA,To Win,PGA - Sony Open in Hawaii,Henrik Norlander,PointsBet,No Lines
PGA,To Win,PGA - Sony Open in Hawaii,Henrik Norlander,BetRivers,+6600
PGA,To Win,PGA - Sony Open in Hawaii,Henrik Norlander,BetMGM,No Lines
